216,0,0,232,0,0,249,0,0,227,0,0,237,0,0,255,0,0,255,0,0,243,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,241,0,0,238,0,0,242,0,0,245,0,0,247,0,0,255,0,0,231,0,0,231,0,4,231,0,0,239,0,0,255,0,0,232,0,0,255,0,0,255,0,0,245,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,243,0,0,235,0,0,234,0,0,237,0,0,227,0,0,230,0,23,241,0,2,239,0,0,250,0,0,249,0,0,248,0,0,250,0,0,255,0,0,246,0,0,255,0,0,255,0,0,255,0,0,255,0,0,219,0,0,234,0,0,242,0,0,248,0,0,242,0,0,255,0,0,244,0,0,243,0,0,237,0,0,242,0,0,245,0,0,245,0,0,251,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,219,0,0,249,0,0,255,0,0,255,0,0,255,0,0,249,0,0,229,0,0,217,0,0,242,0,0,235,0,0,247,0,0,238,0,0,250,0,0,255,0,0,244,0,0,255,0,0,243,0,0,255,0,0,255,0,0,231,0,0,255,0,0,255,0,0,245,0,0,246,0,0,231,0,0,243,0,64,237,0,0,248,0,0,216,0,0,251,0,0,246,0,0,204,0,0,245,0,0,251,0,0,246,0,0,248,0,0,212,0,0
216,0,0,232,0,0,249,0,0,227,0,0,237,0,0,255,0,0,255,0,0,243,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,241,0,0,238,0,0,245,0,0,234,0,0,255,0,0,255,0,0,239,0,0,237,0,4,231,0,0,239,0,0,255,0,0,243,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,235,0,0,234,0,0,229,0,0,255,0,0,234,0,23,241,0,2,239,0,0,241,0,0,255,0,0,255,0,0,250,0,0,255,0,0,246,0,0,255,0,0,255,0,0,255,0,0,241,0,0,219,0,0,234,0,0,248,0,0,248,0,0,242,0,0,255,0,0,244,0,0,232,0,0,234,0,0,239,0,0,248,0,0,245,0,0,251,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,219,0,13,249,0,0,255,0,0,255,0,0,255,0,0,249,0,0,229,0,0,222,0,0,242,0,15,239,0,0,242,0,0,238,0,0,255,0,0,255,0,0,250,0,36,255,0,0,255,0,0,255,0,0,255,0,0,239,0,0,255,0,0,255,0,0,255,0,0,255,0,0,231,0,0,243,0,64,237,0,0,248,0,0,222,0,0,255,0,0,246,0,0,214,0,0,245,0,0,251,0,0,246,0,0,248,0,0,212,0,0
216,0,0,232,0,0,243,0,0,227,0,0,237,0,0,244,0,0,255,0,0,243,0,0,242,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,241,0,0,238,0,0,245,0,0,245,0,0,251,0,0,255,0,0,231,0,0,237,0,4,231,0,0,239,0,0,246,0,0,232,0,0,255,0,0,255,0,0,245,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,245,0,0,255,0,0,243,0,0,235,0,0,255,0,0,237,0,0,241,0,0,230,0,23,241,0,2,239,0,0,246,0,0,249,0,0,248,0,0,250,0,0,248,0,0,246,0,0,255,0,0,255,0,0,242,0,0,255,0,0,255,0,0,234,0,0,248,0,0,248,0,0,242,0,0,255,0,0,244,0,0,232,0,0,230,0,0,239,0,0,248,0,0,240,0,0,246,0,0,250,0,0,248,0,0,255,0,0,255,0,0,255,0,0,219,0,13,249,0,0,246,0,0,243,0,0,250,0,0,249,0,0,232,0,0,217,0,0,242,0,0,231,0,0,242,0,0,238,0,0,250,0,0,255,0,0,244,0,0,255,0,0,255,0,0,255,0,0,255,0,0,235,0,0,255,0,0,248,0,0,255,0,0,255,0,0,231,0,0,240,0,64,237,0,0,248,0,0,222,0,0,255,0,0,246,0,0,214,0,0,245,0,0,255,0,0,236,0,0,248,0,0,212,0,0
216,0,0,232,0,0,236,0,0,227,0,0,237,0,0,244,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,241,0,0,238,0,0,232,0,0,245,0,0,251,0,0,255,0,0,231,0,0,237,0,4,231,0,0,239,0,0,246,0,0,243,0,0,255,0,0,255,0,0,245,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,235,0,0,255,0,0,229,0,0,241,0,0,230,0,23,238,0,2,243,0,0,250,0,0,249,0,0,248,0,0,250,0,0,248,0,0,246,0,0,255,0,0,255,0,0,242,0,0,255,0,0,219,0,0,241,0,0,248,0,0,248,0,0,242,0,0,255,0,0,255,0,0,232,0,0,234,0,0,239,0,0,248,0,0,240,0,0,246,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,219,0,0,249,0,0,255,0,0,255,0,0,250,0,0,249,0,0,232,0,0,212,0,0,242,0,15,235,0,0,242,0,0,238,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,239,0,0,255,0,0,248,0,0,255,0,0,246,0,0,223,0,0,240,0,64,237,0,0,248,0,0,222,0,0,255,0,0,246,0,0,214,0,0,250,0,0,251,0,0,246,0,0,242,0,0,212,0,0
216,0,0,232,0,0,236,0,0,227,0,0,237,0,0,244,0,0,255,0,0,243,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,241,0,0,238,0,0,245,0,0,252,0,0,251,0,0,255,0,0,231,0,0,237,0,4,231,0,0,239,0,0,236,0,0,232,0,0,246,0,0,255,0,0,245,0,0,255,0,0,246,0,0,255,0,0,255,0,0,255,0,0,245,0,0,255,0,0,243,0,0,235,0,0,244,0,0,229,0,0,255,0,0,234,0,23,238,0,2,243,0,0,246,0,0,244,0,0,240,0,0,250,0,0,248,0,0,246,0,0,255,0,0,255,0,0,242,0,0,255,0,0,219,0,0,234,0,0,242,0,0,248,0,0,242,0,0,255,0,0,244,0,0,232,0,0,230,0,0,233,0,0,245,0,0,235,0,0,251,0,0,255,0,0,248,0,0,255,0,0,255,0,0,247,0,0,219,0,0,249,0,0,255,0,0,249,0,0,250,0,0,249,0,0,229,0,0,217,0,0,239,0,0,235,0,0,247,0,0,238,0,0,250,0,0,255,0,0,250,0,0,255,0,0,243,0,0,242,0,0,255,0,0,235,0,0,239,0,0,248,0,0,245,0,0,246,0,0,231,0,0,240,0,64,233,0,0,248,0,0,216,0,0,255,0,0,246,0,0,214,0,0,250,0,0,251,0,0,241,0,0,248,0,0,212,0,0
216,0,0,232,0,0,236,0,0,227,0,0,246,0,0,244,0,0,255,0,0,243,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,241,0,0,238,0,0,242,0,0,255,0,0,255,0,0,255,0,0,231,0,0,231,0,4,231,0,0,239,0,0,246,0,0,243,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,235,0,0,255,0,0,246,0,0,255,0,0,234,0,23,238,0,2,247,0,0,250,0,0,249,0,0,248,0,0,250,0,0,248,0,0,246,0,0,255,0,0,255,0,0,242,0,0,255,0,0,219,0,0,234,0,0,248,0,0,248,0,0,255,0,0,255,0,0,255,0,0,232,0,0,234,0,0,236,0,0,248,0,0,240,0,0,242,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,219,0,0,249,0,0,246,0,0,249,0,0,255,0,0,255,0,0,232,0,0,217,0,0,242,0,15,235,0,0,242,0,0,244,0,0,255,0,0,255,0,0,250,0,0,255,0,0,255,0,0,255,0,0,255,0,0,239,0,0,255,0,0,248,0,0,255,0,0,255,0,0,231,0,0,237,0,64,233,0,0,248,0,0,222,0,0,255,0,0,255,0,0,214,0,0,250,0,0,251,0,0,241,0,0,255,0,0,212,0,0
216,0,0,232,0,0,236,0,0,221,0,0,237,0,0,244,0,0,255,0,0,243,0,0,242,0,0,255,0,0,242,0,0,255,0,0,255,0,0,255,0,0,255,0,0,241,0,0,238,0,0,242,0,0,255,0,0,251,0,0,255,0,0,231,0,0,225,0,4,231,0,0,239,0,0,246,0,0,232,0,0,237,0,0,255,0,0,245,0,0,255,0,0,246,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,243,0,0,235,0,0,244,0,0,246,0,0,241,0,0,225,0,23,238,0,2,243,0,0,246,0,0,238,0,0,240,0,0,250,0,0,248,0,0,246,0,0,255,0,0,255,0,0,242,0,0,255,0,0,255,0,0,234,0,0,242,0,0,248,0,0,242,0,0,255,0,0,244,0,0,232,0,0,234,0,0,236,0,0,245,0,0,235,0,0,251,0,0,255,0,0,248,0,0,255,0,0,248,0,0,247,0,0,219,0,0,249,0,0,246,0,0,255,0,0,250,0,0,249,0,0,232,0,0,212,0,0,239,0,0,231,0,0,242,0,0,244,0,0,250,0,0,249,0,0,250,0,0,241,0,0,243,0,0,242,0,0,255,0,0,235,0,0,239,0,0,248,0,0,245,0,0,246,0,0,227,0,0,240,0,64,228,0,0,240,0,0,222,0,0,255,0,0,246,0,0,214,0,0,245,0,0,247,0,0,236,0,0,255,0,0,212,0,0
216,0,0,232,0,0,236,0,0,227,0,0,246,0,0,255,0,0,255,0,0,243,0,0,242,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,241,0,0,238,0,0,248,0,0,255,0,0,255,0,0,255,0,0,231,0,0,231,0,4,239,0,0,239,0,0,246,0,0,243,0,0,246,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,245,0,0,244,0,0,255,0,0,241,0,0,230,0,23,241,0,2,243,0,0,246,0,0,244,0,0,248,0,0,250,0,0,255,0,0,246,0,0,255,0,0,255,0,0,242,0,0,255,0,0,219,0,0,234,0,0,248,0,0,248,0,0,242,0,0,255,0,0,255,0,0,243,0,0,234,0,0,236,0,0,245,0,0,240,0,0,251,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,219,0,0,255,0,0,255,0,0,255,0,0,255,0,0,249,0,0,229,0,0,217,0,0,242,0,15,235,0,0,242,0,0,244,0,0,250,0,0,255,0,0,250,0,0,255,0,0,243,0,0,255,0,0,255,0,0,235,0,0,255,0,0,255,0,0,245,0,0,246,0,0,227,0,0,240,0,64,233,0,0,248,0,0,222,0,0,255,0,0,246,0,0,214,0,0,245,0,0,255,0,0,236,0,0,248,0,0,255,0,0
216,0,0,227,0,0,236,0,0,221,0,0,246,0,0,244,0,0,255,0,0,243,0,0,242,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,241,0,0,238,0,0,242,0,0,252,0,0,251,0,0,255,0,0,231,0,0,237,0,4,231,0,0,239,0,0,236,0,0,232,0,0,246,0,0,255,0,0,245,0,0,255,0,0,246,0,0,255,0,0,255,0,0,255,0,0,245,0,0,255,0,0,255,0,0,235,0,0,244,0,0,255,0,0,241,0,0,225,0,23,238,0,2,239,0,0,250,0,0,238,0,0,248,0,0,255,0,0,248,0,0,246,0,0,255,0,0,248,0,0,242,0,0,255,0,0,255,0,0,234,0,0,242,0,0,248,0,0,242,0,0,255,0,0,255,0,0,243,0,0,227,0,0,233,0,0,234,0,0,235,0,0,251,0,0,255,0,0,248,0,0,255,0,0,248,0,0,247,0,0,219,0,0,249,0,0,246,0,0,249,0,0,250,0,0,255,0,0,229,0,0,217,0,0,239,0,15,235,0,0,238,0,0,244,0,0,250,0,0,249,0,0,250,0,0,255,0,0,243,0,0,242,0,0,245,0,0,227,0,0,255,0,0,248,0,0,245,0,0,246,0,0,231,0,0,237,0,64,233,0,0,248,0,0,222,0,0,246,0,0,246,0,0,214,0,0,245,0,0,251,0,0,236,0,0,248,0,0,212,0,0
216,0,0,232,0,0,236,0,0,227,0,0,246,0,0,244,0,0,255,0,0,243,0,0,242,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,241,0,0,238,0,0,242,0,0,252,0,0,255,0,0,251,0,0,231,0,0,237,0,4,239,0,0,239,0,0,236,0,0,232,0,0,255,0,0,255,0,0,255,0,0,255,0,0,246,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,235,0,0,244,0,0,255,0,0,255,0,0,234,0,23,241,0,2,243,0,0,246,0,0,244,0,0,248,0,0,255,0,0,248,0,0,246,0,0,255,0,0,255,0,0,242,0,0,255,0,0,255,0,0,234,0,0,242,0,0,248,0,0,255,0,0,255,0,0,255,0,0,243,0,0,230,0,0,239,0,0,238,0,0,240,0,0,246,0,0,255,0,0,255,0,0,255,0,0,255,0,0,247,0,0,219,0,0,249,0,0,255,0,0,255,0,0,250,0,0,255,0,0,229,0,0,217,0,0,239,0,15,235,0,0,238,0,0,244,0,0,250,0,0,255,0,0,250,0,0,255,0,0,243,0,0,255,0,0,255,0,0,235,0,0,255,0,0,255,0,0,245,0,0,246,0,0,227,0,0,240,0,64,233,0,0,248,0,0,222,0,0,255,0,0,255,0,0,214,0,0,245,0,0,255,0,0,246,0,0,255,0,0,212,0,0
216,0,0,227,0,0,236,0,0,227,0,0,246,0,0,244,0,0,255,0,0,243,0,0,242,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,241,0,0,238,0,0,242,0,0,245,0,0,251,0,0,255,0,0,231,0,0,225,0,4,231,0,0,239,0,0,236,0,0,232,0,0,246,0,0,255,0,0,245,0,0,255,0,0,237,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,243,0,0,235,0,0,244,0,0,246,0,0,255,0,0,225,0,23,238,0,2,239,0,0,250,0,0,238,0,0,240,0,0,250,0,0,248,0,0,238,0,0,255,0,0,248,0,0,242,0,0,255,0,0,219,0,0,234,0,0,242,0,0,248,0,0,255,0,0,255,0,0,244,0,0,243,0,0,234,0,0,242,0,0,234,0,0,235,0,0,242,0,0,255,0,0,248,0,0,255,0,0,248,0,0,247,0,0,219,0,0,249,0,0,255,0,0,249,0,0,250,0,0,255,0,0,229,0,0,212,0,0,236,0,15,231,0,0,238,0,0,238,0,0,250,0,0,255,0,0,250,0,0,255,0,0,243,0,0,242,0,0,255,0,0,235,0,0,239,0,0,255,0,0,245,0,0,246,0,0,223,0,0,237,0,64,237,0,0,248,0,0,222,0,0,255,0,0,246,0,0,214,0,0,245,0,0,255,0,0,246,0,0,255,0,0,212,0,0
